"Views","Show View (Problems)","⌥⌘Q X","In Windows"
"Text Editing","Collapse","⌘Numpad_Subtract","Editing Text"
"Navigate","Open Type Hierarchy","F4","In C/C++ Views"
"Makefile Source","Uncomment","⌃\","Makefile Editor"
"Edit","Quick Diff Toggle","⇧⌃Q","Editing Text"
"Git","Rebase...","⌃⌘G Numpad_Divide","In Windows"
"Run/Debug","Run Java Applet","⌥⌘X A","In Windows"
"Edit","Format Active Elements","⌘I","Editing in Structured Text Editors"
"Navigate","Open Include Browser","⌥⌘I","In C/C++ Views"
"Run/Debug","Debug Ruby Application","⇧⌥D R","In Windows"
"Source","Toggle Comment","⌘/","Editing Java Source"
"Text Editing","Select Next Word","⇧⌥→","Editing Text"
"Views","Expand to Level ()","⌥⌘9","Aptana Outline"
"Run/Debug","Run","⇧⌘F11","In Windows"
"Source","Organize Imports","⇧⌘O","JavaScript View"
"Source","Add Javadoc Comment","⌥⌘J","In Windows"
"PyDev - Editor","Python Show Global Tokens (Global)","⇧⌘T","PyDev view"
"Navigate","Open Type in Hierarchy","⇧⌘H","JavaScript View"
"Views","Expand to Level ()","⌥⌘4","Aptana Outline"
"C/C++ Source","Toggle Source/Header","⌃Tab","C/C++ Editor"
"pepticcategory","Generate Properties...","⇧⌥T P","PyDev editor scope"
"Edit","Toggle Search Backward","⌥B","Find Bar"
"Run/Debug","All Instances","⇧⌘N","In Windows"
"C/C++ Source","Add Block Comment","⇧⌘/","C/C++ Editor"
"Source","Toggle Comment","⌘/","Editing JavaScript Source"
"Web Page Editor Layout","Vertical Layout","⇧⌘F9","Using Web Page Editor"
"Edit","Restore Last Selection","⇧⌃↓","Editing JavaScript Source"
"Refactor - C++","Rename - Refactoring ","⌥⌘R","C/C++ Editor"
"Navigate","Collapse All","⇧⌘Numpad_Divide","In Windows"
"Navigate","Open Include Browser","⌥⌘I","C/C++ Editor"
"Text Editing","Next Word","⌥→","Editing Text"
"Git","Revert","⌃⌘G R","In Windows"
"Edit","Move","⇧⌥V","Editing JSP Source"
"Edit","Find and Replace","⌥R","In Windows"
"PyDev - Editor","Offline Action for scripting","⌘2","PyDev editor scope"
"Views","Show View (Breakpoints)","⌥⌘Q B","In Windows"
"Navigate","Go to Line","⌃X G","Editing Text"
"Views","Show View (Script Explorer)","⌥⌘Q P","JavaScript View"
"Text Editing","Scroll Line Down","⌃Z","Editing Text"
"Refactor - Java","Show Refactor Quick Menu","⌥⌘T","In Windows"
"Text Editing","Toggle Folding","⌘Numpad_Divide","Editing Text"
"Views","Expand to Level ()","⌥⌘3","Aptana Outline"
"Edit","Select Previous Element","⇧⌃←","Editing in Structured Text Editors"
"PyDev - Editor","Add Single Comment Block","⇧⌘4","PyDev editor scope"
"Run/Debug","Next Page of Memory","⇧⌘.","In Table Memory Rendering"
"PyDev - Editor","Python Show Outline","⌘O","PyDev editor scope"
"Edit","Select Previous Element","⇧⌃←","Editing JavaScript Source"
"Source","Organize Imports","⇧⌘O","In Windows"
"C/C++ Source","Explore Macro Expansion","⌘=","C/C++ Editor"
"Source","Toggle Comment","⇧⌘C","Editing Java Source"
"Edit","Restore Last Selection","⇧⌥↓","Editing in Structured Text Editors"
"C/C++ Source","Go to Previous Member","⇧⌘↑","C/C++ Editor"
"Navigate","Go to Line","⌘L","Editing Text"
"Run/Debug","Toggle Breakpoint","⇧⌘B","In Windows"
"Edit","Context Information","⇧⌃Space","In Dialogs and Windows"
"Edit","Restore Last Selection","⇧⌃↓","Editing Java Source"
"Window","Next View","⌘F7","In Windows"
"Edit","Find Bar Focus Find or Open Eclipse Search Dialog (depends on configuration)","⌘F","Find Bar"
"Edit","Content Assist","⌥/","In Dialogs and Windows"
"File","Print","⌥F9","In Windows"
"Edit","Filter Through Command","⌥⌘R","Editing Text"
"Navigate","Quick Outline","⌘O","Editing Java Source"
"Text Editing","Scroll Line Down","⌃↓","Editing Text"
"Navigate","Open Resource","⌃X ⌃F","In Windows"
"Navigate","Forward History","⌘]","In Windows"
"Views","Show View (Outline)","⌥⌘Q O","In Windows"
"Run/Debug","Add Memory Block","⌥⌘M","In Memory View"
"Navigate","Show In...","⌥⌘W","In Windows"
"Text Editing","Swap Mark","⌃X ⌃X","Editing Text"
"Edit","Previous Sibling","⇧⌃↑","Editing in Structured Text Editors"
"Uncategorized","Find all references","⇧⌘G","PyDev editor scope"
"Edit","Occurrences in File","⇧⌘A","Editing in Structured Text Editors"
"Window","Show Key Assist","⇧⌘L","In Dialogs and Windows"
"Text Editing","Line Start","⌘←","Editing Text"
"Edit","Find Previous","⇧⌤","Find Bar"
"PyDev - Editor","Python Organize Imports","⇧⌘O","PyDev editor scope"
"Edit","Paste","⌘V","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","⌥V","Terminal widget context"
"Source","Show Source Quick Menu","⌥⌘S","JavaScript View"
"Run/Debug","Next Memory Monitor","⌥⌘N","In Memory View"
"Edit","Select Next Element","⇧⌃→","Editing in Structured Text Editors"
"Edit","Context Information","⇧⌥?","In Windows"
"Edit","Word Completion","⌃.","Editing Text"
"File","Close","⌃X K","In Windows"
"C/C++ Source","Open Declaration","F3","In C/C++ Views"
"Source","Toggle Comment","⌘7","Editing Java Source"
"Source","Quick Assist - Assign to field","⌘2 F","Editing Java Source"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing Java Source"
"Navigate","Backward History","⌘[","In Windows"
"Window","Quick Switch Editor","⌃X B","In Windows"
"Run/Debug","Step Into Selection","⌥F5","Debugging"
"Source","Surround With Quick Menu","⌥⌘Z","In Windows"
"Git","Blame","⌃⌘G B","In Windows"
"Text Editing","Next Word","Esc F","Editing Text"
"Edit","Select Enclosing Element","⇧⌃↑","Editing JavaScript Source"
"Search","Find Text in Workspace","⌥⌘G","In Windows"
"Edit","Find Next or Previous (depends on search backward configuration)","F3","Find Bar"
"Navigate","Show In Breadcrumb","⌥⌘B","Editor Breadcrumb Navigation"
"Views","Show View (Console)","⌥⌘Q C","In Windows"
"Views","Show View (Synchronize)","⌥⌘Q Y","In Windows"
"pepticcategory","Extract Local Variable...","⇧⌥L","PyDev editor scope"
"Run/Debug","Debug Java Applet","⌃⌥⌘D A","In Windows"
"Text Editing","Select Text End","⇧↘","Editing Text"
"PyDev - Editor","Python Show Global Tokens (Editor)","⇧⌘T","PyDev editor scope"
"Navigate","Open External JSDoc","⇧F2","JavaScript View"
"Edit","Find Next","⌘K","Editing Text"
"Run/Debug","Step Over","F6","Debugging"
"PyDev - Editor","Python Un Collapse","⌘=","PyDev editor scope"
"Text Editing","Clear Mark","⌃G","Editing Text"
"Text Editing","Recenter","⌃L","Editing Text"
"File","Print","Esc F9","In Windows"
"Run/Debug","Run Ruby Application","⇧⌥X R","In Windows"
"Text Editing","Text Start","⇧⌥<","Editing Text"
"Git","Unstash","⌃⌘G U","In Windows"
"pepticcategory","Extract Local Variable...","⇧⌥T L","PyDev editor scope"
"Refactor - JavaScript","Rename - Refactoring ","⌥⌘R","JavaScript View"
"Edit","Paste","⌃Y","In Dialogs and Windows"
"C/C++ Source","Format","⇧⌘F","C/C++ Editor"
"Refactor - JavaScript","Change Function Signature","⌥⌘C","JavaScript View"
"Edit","Redo","F10","In Windows"
"Navigate","Open Resource","⌘T","In Windows"
"Terminal view commands","Terminal view insert","⌥R","Terminal widget context"
"Views","Show View (Hierarchy)","⌥⌘Q T","JavaScript View"
"pepticcategory","Override/Implement Methods...","⇧⌥T O","PyDev editor scope"
"Edit","Rename","⇧⌥R","Editing JSP Source"
"Text Editing","Select Text Start","⇧↖","Editing Text"
"Edit","Redo","⇧⌘Z","In Dialogs and Windows"
"JavaScript Debug","JavaScript Breakpoint Properties","⌘↩","In Breakpoints View"
"Views","Show View (Variables)","⌥⌘Q V","In Windows"
"Run/Debug","Run JUnit Test","⌥⌘X T","In Windows"
"Text Editing","Expand All","⌘Numpad_Multiply","Editing Text"
"File","Close","⌘W","In Windows"
"Text Editing","Delete Next Word","Esc D","Editing Text"
"Search","Open Search Dialog","⌃H","In Windows"
"File","Refresh","F5","In Windows"
"Run/Debug","Run Java Application","⌥⌘X J","In Windows"
"Terminal view commands","Terminal view insert","⌥F","Terminal widget context"
"Git","Paste Repository Path","⌘V","In Git Repositories View"
"Search","References in Workspace","⇧⌘G","In Windows"
"Text Editing","Select Line End","⇧⌘→","Editing Text"
"Refactor - JavaScript","Move - Refactoring ","⌥⌘V","JavaScript View"
"Makefile Source","Open declaration","F3","Makefile Editor"
"Window","Switch to Editor","⌃X ⌃B","In Windows"
"Refactor - Java","Extract Local Variable","⌥⌘L","In Windows"
"Edit","Select Next C/C++ Element","⇧⌃→","C/C++ Editor"
"Edit","Restore Last Selection","⇧⌃↓","Editing XML Source"
"Navigate","Go to Previous Member","⌃⌥↑","Editing Java Source"
"pepticcategory","Extract Method...","⇧⌥T E","PyDev editor scope"
"Run/Debug","Run OSGi Framework","⌥⌘X O","In Windows"
"Edit","Select All","⌃X H","In Dialogs and Windows"
"PyDev - Editor","Remove Comment Block","⌘5","PyDev editor scope"
"Search","References in Workspace","⇧⌘G","JavaScript View"
"Refactor - Java","Change Method Signature","⌥⌘C","In Windows"
"Text Editing","To Upper Case","⇧⌘X","Editing Text"
"Navigate","Next","⌘.","In Windows"
"Window","Maximize Active View or Editor","⌃M","In Windows"
"Navigate","Open Type in Hierarchy","⇧⌘H","C/C++ Editor"
"Text Editing","Scroll Line Up","⌥Z","Editing Text"
"Edit","Format","⇧⌘F","Aptana Editor"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing Java Source"
"Text Editing","Reset Structure","⇧⌘Numpad_Multiply","Editing Text"
"Edit","Undo","⌃X U","In Windows"
"Edit","Content Assist","⌃Space","In Dialogs and Windows"
"PyDev - Editor","Previous Method or Class","⇧⌘↑","PyDev editor scope"
"Window","Quick Access","⌘3","In Windows"
"Terminal view commands","Terminal view insert","⌥E","Terminal widget context"
"C/C++ Source","Surround With Quick Menu","⇧⌥Z","C/C++ Editor"
"Views","Expand to Level ()","⌥⌘6","Aptana Outline"
"Edit","Hide Find Bar","Esc","Find Bar"
"Server","Run","⌥⌘R","In Servers View"
"Git","Delete Branch...","⌃⌘G D","In Windows"
"File","New menu","⌥⌘N","In Windows"
"C/C++ Source","Surround With Quick Menu","⌥⌘Z","C/C++ Editor"
"Views","Collapse All","⌥⌘-","Aptana Outline"
"pepticcategory","Inline Local Variable...","⇧⌥I","PyDev editor scope"
"Text Editing","Page Down","⌃V","Editing Text"
"View","Zoom Out","⌘-","In Windows"
"C/C++ Source","Find References","⇧⌘G","C/C++ Editor"
"Text Editing","Insert Line Below Current Line","⇧↩","Editing Text"
"Text Editing","Cut to End of Line","⌃K","Editing Text"
"C/C++ Source","Toggle Source/Header","⌘Tab","C/C++ Editor"
"Edit","Redo","⌃X R","In Windows"
"Text Editing","Text End","⇧⌥>","Editing Text"
"Server","Debug","⌥⌘D","In Servers View"
"Text Editing","Text End","⌘↘","Editing Text"
"Window","Previous Editor","⇧⌘F6","In Windows"
"C/C++ Source","Find Declaration","⌘G","In C/C++ Views"
"Git","Commit...","⌃⌘G C","In Windows"
"Navigate","Quick Outline","⌘O","PDE editor"
"C/C++ Source","Open Declaration","F3","C/C++ Editor"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing JavaScript Source"
"Text Editing","Page Up","⌥V","Editing Text"
"Source","Toggle Comment","⌘/","Editing Properties Files"
"Edit","Matching Tag","⇧⌃.","Editing in Structured Text Editors"
"Window","Next Editor","⌘F6","In Windows"
"File Transfer","Download...","⇧⌘D","In Windows"
"Navigate","Previous Page","⇧⌥F7","In Windows"
"Text Editing","Previous Column","⌃B","Editing Text"
"Edit","Next Sibling","⇧⌘↓","Editing in Structured Text Editors"
"Edit","Delete","⌦","In Windows"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing Java Source"
"Edit","Cut","⌘X","In Dialogs and Windows"
"Text Editing","Text Start","⌥<","Editing Text"
"Git","Create Branch...","⌃⌘G A","In Windows"
"Run/Debug","Debug RAP JUnit Test","⇧⌥D U","In Windows"
"Source","Rename In File","⌥⌘R","Editing Ant Buildfiles"
"Run/Debug","Inspect","⇧⌘I","Aptana Editor"
"Navigate","Open Structure","⌘F3","Editing Java Source"
"Git","Pull","⌃⌘G ←","In Windows"
"Views","Show View","⌥⌘Q Q","In Windows"
"Terminal view commands","Terminal view insert","⌥W","Terminal widget context"
"Edit","Add Block Comment","⇧⌘/","Editing in Structured Text Editors"
"Edit","Find Previous","⇧⌘K","Find Bar"
"Navigate","Backward History","⌥⌘←","In Windows"
"Views","Expand to Level ()","⌥⌘2","Aptana Outline"
"pepticcategory","Extract Method...","⇧⌥M","PyDev editor scope"
"Git","Push to Remote...","⌃⌘G P","In Windows"
"Git","Squash Merge Branch...","⌃⌘G Q","In Windows"
"Run/Debug","Use Step Filters","⇧F5","In Windows"
"Git","Unstage","⌃⌘G Numpad_Subtract","In Windows"
"Terminal view commands","Terminal view insert","⌥G","Terminal widget context"
"PyDev - Run","Terminate all launches","⌥⌘F9","PyDev editor scope"
"File","Rename","F2","In Windows"
"Text Editing","Line End","⌃E","Editing Text"
"Text Editing","Text End","Esc ⇧>","Editing Text"
"Edit","Remove Block Comment","⌘\","Editing in Structured Text Editors"
"Edit","Hide Find Bar","F12","Find Bar"
"Edit","Toggle Regular Expression Matching","⌥X","Find Bar"
"JavaScript Debug","Evaluate","⇧⌥E","Editing JavaScript Source"
"Text Editing","Move Lines Down","⌥↓","Editing Text"
"Run/Debug","Run on Server","⇧⌥X R","In Windows"
"Refactor - C++","Toggle Function - Refactoring ","⌥⌘T","C/C++ Editor"
"Navigate","Open Call Hierarchy","⌃⌥H","In Windows"
"Text Editing","Line Start","⌃A","Editing Text"
"Navigate","Quick Outline","⌘O","Editing JavaScript Source"
"Run/Debug","Step Into","F5","Debugging"
"File","Print","⌘P","In Windows"
"PyDev - Run","Run editor with current interpreter","F9","PyDev editor scope"
"Git","Add to .gitignore","⌃⌘G I","In Windows"
"Views","Show View (History)","⌥⌘Q Z","In Windows"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Edit","Toggle Comment","⇧⌘C","Editing in Structured Text Editors"
"Refactor - Java","Move - Refactoring ","⌥⌘V","In Windows"
"Edit","Find Previous","⇧↩","Find Bar"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","In Windows"
"Refactor - Java","Rename - Refactoring ","⌥⌘R","In Windows"
"PyDev - Editor","Next Method or Class","⇧⌘↓","PyDev editor scope"
"PyDev - Editor","Python Toggle Comment","⌘/","PyDev editor scope"
"PyDev - Editor","Python Collapse","⌘-","PyDev editor scope"
"Edit","Select Enclosing Element","⇧⌥↑","Editing in Structured Text Editors"
"Edit","Copy","⌘C","In Dialogs and Windows"
"Window","Previous View","⇧⌘F7","In Windows"
"Search","Declaration in Workspace","⌘G","JavaScript View"
"Navigate","Open Type in Hierarchy","⇧⌘H","In C/C++ Views"
"Web Page Editor Layout","Horizontal Layout","⇧⌘F10","Using Web Page Editor"
"Reverse Debugging Commands","Reverse Resume","⇧F8","Debugging C/C++"
"Window","Quick Switch Editor","⌘E","In Windows"
"Rails","Run Server","⇧⌃\","In Windows"
"Navigate","Previous Sub-Tab","⌥⇞","In Dialogs and Windows"
"Navigate","Open Declaration","F3","PHP Source Editing"
"Window","Show View Menu","⌘F10","In Dialogs and Windows"
"Edit","Remove Block Comment","⇧⌘\","Editing in Structured Text Editors"
"Edit","Copy","⌥W","In Dialogs and Windows"
"PyDev - Editor","Python Un Collapse All","⌘0","PyDev editor scope"
"Window","Activate Editor","⌘F12","In Windows"
"Window","Show System Menu","⇧⌘F10","In Windows"
"Run/Debug","Debug Ant Build","⌃⌥⌘D Q","In Windows"
"Manifest Editor Source","Format Source","⇧⌘F","PDE editor"
"Run/Debug","Run Ant Build","⌥⌘X Q","In Windows"
"Navigate","Open Type","⇧⌘T","Editing JavaScript Source"
"Edit","Select Next Element","⇧⌃→","Editing JavaScript Source"
"Uncategorized","Quick Outline","⌘O","Aptana Editor"
"Text Editing","Text End","⌥>","Editing Text"
"Source","Toggle Comment","⌘7","Editing JavaScript Source"
"Edit","Incremental Find","⌘J","Editing Text"
"PyDev - Run","Relaunch last pydev launch","⇧⌘F9","PyDev editor scope"
"Source","Add Import","⇧⌘M","Editing JavaScript Source"
"Git","Show Github Network","⌃⌘G G","In Windows"
"Aptana","Mark Occurrences","⌥⌘O","Aptana Editor"
"Navigate","Open Resource","⇧⌘R","In Windows"
"Edit","Find Next or Previous (depends on search backward configuration)","⌥N","Find Bar"
"PyDev - Editor","Add Comment Block","⌘4","PyDev editor scope"
"Run/Debug","Debug","⌘F11","In Windows"
"Edit","Toggle Whole Word Matching","⌥W","Find Bar"
"Views","Expand to Level ()","⌥⌘7","Aptana Outline"
"Navigate","Open Type","⇧⌘T","In Windows"
